month,res_county,cases
August,ALAMEDA,5349
August,AMADOR,86
August,BUTTE,1252
August,CALAVERAS,123
August,COLUSA,99
August,CONTRA COSTA,4388
August,DEL NORTE,28
August,EL DORADO,224
August,FRESNO,6265
August,GLENN,98
August,HUMBOLDT,162
August,IMPERIAL,956
August,KERN,5149
August,KINGS,1596
August,LAKE,121
August,LASSEN,85
August,LOS ANGELES,43036
August,MADERA,1130
August,MARIN,853
August,MENDOCINO,327
August,MERCED,2260
August,MONTEREY,2771
August,NAPA,330
August,NEVADA,121
August,ORANGE,7292
August,PLACER,866
August,RIVERSIDE,8717
August,SACRAMENTO,5961
August,SAN BENITO,437
August,SAN BERNARDINO,9369
August,SAN DIEGO,7943
August,SAN FRANCISCO,2482
August,SAN JOAQUIN,3996
August,SAN LUIS OBISPO,1044
August,SAN MATEO,2215
August,SANTA BARBARA,1519
August,SANTA CLARA,5892
August,SANTA CRUZ,608
August,SHASTA,139
August,SISKIYOU,50
August,SMALL COUNTY,340
August,SOLANO,1323
August,SONOMA,2388
August,STANISLAUS,3900
August,SUTTER,547
August,TEHAMA,165
August,TULARE,3511
August,TUOLUMNE,50
August,VENTURA,2693
August,YOLO,687
August,YUBA,402
September,ALAMEDA,2617
September,AMADOR,25
September,BUTTE,551
September,CALAVERAS,43
September,COLUSA,59
September,CONTRA COSTA,2644
September,DEL NORTE,20
September,EL DORADO,214
September,FRESNO,3106
September,GLENN,128
September,HUMBOLDT,85
September,IMPERIAL,674
September,KERN,2363
September,KINGS,1612
September,LAKE,222
September,LASSEN,27
September,LOS ANGELES,28608
September,MADERA,689
September,MARIN,513
September,MENDOCINO,252
September,MERCED,810
September,MONTEREY,1845
September,NAPA,265
September,NEVADA,96
September,ORANGE,5556
September,PLACER,546
September,RIVERSIDE,6730
September,SACRAMENTO,4259
September,SAN BENITO,181
September,SAN BERNARDINO,6351
September,SAN DIEGO,8560
September,SAN FRANCISCO,1629
September,SAN JOAQUIN,1744
September,SAN LUIS OBISPO,632
September,SAN MATEO,1625
September,SANTA BARBARA,950
September,SANTA CLARA,3661
September,SANTA CRUZ,591
September,SHASTA,716
September,SISKIYOU,18
September,SMALL COUNTY,271
September,SOLANO,870
September,SONOMA,1816
September,STANISLAUS,1492
September,SUTTER,269
September,TEHAMA,201
September,TULARE,1892
September,TUOLUMNE,22
September,VENTURA,2138
September,YOLO,330
September,YUBA,196
October,ALAMEDA,2659
October,AMADOR,72
October,BUTTE,333
October,CALAVERAS,36
October,COLUSA,41
October,CONTRA COSTA,2243
October,DEL NORTE,40
October,EL DORADO,264
October,FRESNO,3317
October,GLENN,106
October,HUMBOLDT,74
October,IMPERIAL,1266
October,KERN,2407
October,KINGS,933
October,LAKE,148
October,LASSEN,45
October,LOS ANGELES,39504
October,MADERA,541
October,MARIN,401
October,MENDOCINO,168
October,MERCED,816
October,MONTEREY,1702
October,NAPA,430
October,NEVADA,132
October,ORANGE,6876
October,PLACER,996
October,RIVERSIDE,9768
October,SACRAMENTO,3820
October,SAN BENITO,118
October,SAN BERNARDINO,11149
October,SAN DIEGO,10206
October,SAN FRANCISCO,1287
October,SAN JOAQUIN,2185
October,SAN LUIS OBISPO,759
October,SAN MATEO,1335
October,SANTA BARBARA,824
October,SANTA CLARA,3846
October,SANTA CRUZ,532
October,SHASTA,1287
October,SISKIYOU,74
October,SMALL COUNTY,448
October,SOLANO,1390
October,SONOMA,2134
October,STANISLAUS,1703
October,SUTTER,231
October,TEHAMA,369
October,TULARE,2015
October,TUOLUMNE,78
October,VENTURA,1967
October,YOLO,517
October,YUBA,217
November,ALAMEDA,8605
November,AMADOR,504
November,BUTTE,1439
November,CALAVERAS,220
November,COLUSA,293
November,CONTRA COSTA,6795
November,DEL NORTE,209
November,EL DORADO,1725
November,FRESNO,11659
November,GLENN,428
November,HUMBOLDT,439
November,IMPERIAL,3890
November,KERN,10489
November,KINGS,3286
November,LAKE,358
November,LASSEN,1643
November,LOS ANGELES,123609
November,MADERA,1905
November,MARIN,803
November,MENDOCINO,527
November,MERCED,3008
November,MONTEREY,5132
November,NAPA,1442
November,NEVADA,996
November,ORANGE,26160
November,PLACER,3817
November,RIVERSIDE,33056
November,SACRAMENTO,14666
November,SAN BENITO,603
November,SAN BERNARDINO,42532
November,SAN DIEGO,31042
November,SAN FRANCISCO,3947
November,SAN JOAQUIN,6509
November,SAN LUIS OBISPO,2377
November,SAN MATEO,4083
November,SANTA BARBARA,2222
November,SANTA CLARA,13715
November,SANTA CRUZ,2210
November,SHASTA,3596
November,SISKIYOU,484
November,SMALL COUNTY,1156
November,SOLANO,3590
November,SONOMA,3260
November,STANISLAUS,6290
November,SUTTER,2039
November,TEHAMA,957
November,TULARE,5930
November,TUOLUMNE,913
November,VENTURA,7548
November,YOLO,2072
November,YUBA,975
December,ALAMEDA,24207
December,AMADOR,1851
December,BUTTE,4524
December,CALAVERAS,664
December,COLUSA,614
December,CONTRA COSTA,17808
December,DEL NORTE,364
December,EL DORADO,3835
December,FRESNO,31568
December,GLENN,835
December,HUMBOLDT,885
December,IMPERIAL,8187
December,KERN,30366
December,KINGS,5309
December,LAKE,941
December,LASSEN,2184
December,LOS ANGELES,425472
December,MADERA,4880
December,MARIN,2261
December,MENDOCINO,945
December,MERCED,7679
December,MONTEREY,13750
December,NAPA,2743
December,NEVADA,1300
December,ORANGE,92848
December,PLACER,7591
December,RIVERSIDE,107325
December,SACRAMENTO,28695
December,SAN BENITO,1932
December,SAN BERNARDINO,112352
December,SAN DIEGO,86170
December,SAN FRANCISCO,8480
December,SAN JOAQUIN,21686
December,SAN LUIS OBISPO,5628
December,SAN MATEO,11713
December,SANTA BARBARA,7470
December,SANTA CLARA,36804
December,SANTA CRUZ,5370
December,SHASTA,3185
December,SISKIYOU,385
December,SMALL COUNTY,1721
December,SOLANO,9649
December,SONOMA,7220
December,STANISLAUS,15114
December,SUTTER,2831
December,TEHAMA,1628
December,TULARE,15632
December,TUOLUMNE,1814
December,VENTURA,24166
December,YOLO,3755
December,YUBA,1806
January,ALAMEDA,19694
January,AMADOR,577
January,BUTTE,2991
January,CALAVERAS,545
January,COLUSA,505
January,CONTRA COSTA,15389
January,DEL NORTE,97
January,EL DORADO,2118
January,FRESNO,20531
January,GLENN,594
January,HUMBOLDT,934
January,IMPERIAL,3703
January,KERN,21370
January,KINGS,4419
January,LAKE,849
January,LASSEN,408
January,LOS ANGELES,298104
January,MADERA,3533
January,MARIN,2290
January,MENDOCINO,782
January,MERCED,6671
January,MONTEREY,10428
January,NAPA,2205
January,NEVADA,818
January,ORANGE,62619
January,PLACER,4343
January,RIVERSIDE,74915
January,SACRAMENTO,19045
January,SAN BENITO,1516
January,SAN BERNARDINO,62843
January,SAN DIEGO,72404
January,SAN FRANCISCO,7732
January,SAN JOAQUIN,14568
January,SAN LUIS OBISPO,6079
January,SAN MATEO,9991
January,SANTA BARBARA,10576
January,SANTA CLARA,26928
January,SANTA CRUZ,4559
January,SHASTA,2139
January,SISKIYOU,354
January,SMALL COUNTY,1085
January,SOLANO,7457
January,SONOMA,5708
January,STANISLAUS,11776
January,SUTTER,1634
January,TEHAMA,1223
January,TULARE,12383
January,TUOLUMNE,562
January,VENTURA,27384
January,YOLO,3100
January,YUBA,1108
February,ALAMEDA,5759
February,AMADOR,195
February,BUTTE,725
February,CALAVERAS,131
February,COLUSA,152
February,CONTRA COSTA,4627
February,DEL NORTE,118
February,EL DORADO,561
February,FRESNO,5664
February,GLENN,170
February,HUMBOLDT,333
February,IMPERIAL,714
February,KERN,6161
February,KINGS,1143
February,LAKE,293
February,LASSEN,176
February,LOS ANGELES,48461
February,MADERA,892
February,MARIN,779
February,MENDOCINO,314
February,MERCED,2217
February,MONTEREY,2349
February,NAPA,514
February,NEVADA,359
February,ORANGE,11454
February,PLACER,1277
February,RIVERSIDE,11568
February,SACRAMENTO,6561
February,SAN BENITO,295
February,SAN BERNARDINO,9434
February,SAN DIEGO,15307
February,SAN FRANCISCO,2408
February,SAN JOAQUIN,4227
February,SAN LUIS OBISPO,1527
February,SAN MATEO,2445
February,SANTA BARBARA,2750
February,SANTA CLARA,7254
February,SANTA CRUZ,979
February,SHASTA,702
February,SISKIYOU,191
February,SMALL COUNTY,580
February,SOLANO,1654
February,SONOMA,2000
February,STANISLAUS,4001
February,SUTTER,474
February,TEHAMA,280
February,TULARE,3653
February,TUOLUMNE,351
February,VENTURA,5952
February,YOLO,810
February,YUBA,347
March,ALAMEDA,2983
March,AMADOR,105
March,BUTTE,395
March,CALAVERAS,92
March,COLUSA,21
March,CONTRA COSTA,2635
March,DEL NORTE,190
March,EL DORADO,356
March,FRESNO,3872
March,GLENN,129
March,HUMBOLDT,280
March,IMPERIAL,542
March,KERN,2340
March,KINGS,565
March,LAKE,164
March,LASSEN,27
March,LOS ANGELES,16837
March,MADERA,544
March,MARIN,473
March,MENDOCINO,112
March,MERCED,1398
March,MONTEREY,675
March,NAPA,380
March,NEVADA,351
March,ORANGE,4537
March,PLACER,1167
March,RIVERSIDE,3891
March,SACRAMENTO,4676
March,SAN BENITO,135
March,SAN BERNARDINO,3329
March,SAN DIEGO,6917
March,SAN FRANCISCO,1218
March,SAN JOAQUIN,3357
March,SAN LUIS OBISPO,877
March,SAN MATEO,1272
March,SANTA BARBARA,1087
March,SANTA CLARA,3704
March,SANTA CRUZ,433
March,SHASTA,518
March,SISKIYOU,93
March,SMALL COUNTY,359
March,SOLANO,1086
March,SONOMA,1054
March,STANISLAUS,2700
March,SUTTER,276
March,TEHAMA,222
March,TULARE,1491
March,TUOLUMNE,112
March,VENTURA,1965
March,YOLO,467
March,YUBA,251
April,ALAMEDA,2853
April,AMADOR,59
April,BUTTE,574
April,CALAVERAS,87
April,COLUSA,54
April,CONTRA COSTA,2367
April,DEL NORTE,127
April,EL DORADO,618
April,FRESNO,1991
April,GLENN,48
April,HUMBOLDT,420
April,IMPERIAL,710
April,KERN,1355
April,KINGS,260
April,LAKE,92
April,LASSEN,29
April,LOS ANGELES,12301
April,MADERA,354
April,MARIN,291
April,MENDOCINO,91
April,MERCED,811
April,MONTEREY,434
April,NAPA,326
April,NEVADA,327
April,ORANGE,3127
April,PLACER,1206
April,RIVERSIDE,3024
April,SACRAMENTO,4574
April,SAN BENITO,157
April,SAN BERNARDINO,2662
April,SAN DIEGO,6273
April,SAN FRANCISCO,967
April,SAN JOAQUIN,2384
April,SAN LUIS OBISPO,675
April,SAN MATEO,1068
April,SANTA BARBARA,787
April,SANTA CLARA,3232
April,SANTA CRUZ,262
April,SHASTA,670
April,SISKIYOU,236
April,SMALL COUNTY,314
April,SOLANO,1310
April,SONOMA,567
April,STANISLAUS,2165
April,SUTTER,203
April,TEHAMA,205
April,TULARE,722
April,TUOLUMNE,84
April,VENTURA,945
April,YOLO,470
April,YUBA,169
May,ALAMEDA,1630
May,AMADOR,41
May,BUTTE,454
May,CALAVERAS,76
May,COLUSA,47
May,CONTRA COSTA,1628
May,DEL NORTE,89
May,EL DORADO,314
May,FRESNO,1259
May,GLENN,68
May,HUMBOLDT,482
May,IMPERIAL,400
May,KERN,1139
May,KINGS,174
May,LAKE,70
May,LASSEN,58
May,LOS ANGELES,6177
May,MADERA,151
May,MARIN,163
May,MENDOCINO,184
May,MERCED,418
May,MONTEREY,260
May,NAPA,110
May,NEVADA,144
May,ORANGE,1450
May,PLACER,703
May,RIVERSIDE,1803
May,SACRAMENTO,2989
May,SAN BENITO,46
May,SAN BERNARDINO,1644
May,SAN DIEGO,3251
May,SAN FRANCISCO,512
May,SAN JOAQUIN,1356
May,SAN LUIS OBISPO,292
May,SAN MATEO,486
May,SANTA BARBARA,267
May,SANTA CLARA,1134
May,SANTA CRUZ,127
May,SHASTA,634
May,SISKIYOU,223
May,SMALL COUNTY,269
May,SOLANO,805
May,SONOMA,555
May,STANISLAUS,1415
May,SUTTER,165
May,TEHAMA,146
May,TULARE,674
May,TUOLUMNE,71
May,VENTURA,640
May,YOLO,280
May,YUBA,188
June,ALAMEDA,1615
June,AMADOR,71
June,BUTTE,284
June,CALAVERAS,37
June,COLUSA,13
June,CONTRA COSTA,1585
June,DEL NORTE,48
June,EL DORADO,242
June,FRESNO,784
June,GLENN,27
June,HUMBOLDT,275
June,IMPERIAL,181
June,KERN,826
June,KINGS,148
June,LAKE,111
June,LASSEN,78
June,LOS ANGELES,8025
June,MADERA,186
June,MARIN,141
June,MENDOCINO,163
June,MERCED,229
June,MONTEREY,167
June,NAPA,144
June,NEVADA,151
June,ORANGE,1678
June,PLACER,661
June,RIVERSIDE,1876
June,SACRAMENTO,2467
June,SAN BENITO,65
June,SAN BERNARDINO,1773
June,SAN DIEGO,2536
June,SAN FRANCISCO,509
June,SAN JOAQUIN,1067
June,SAN LUIS OBISPO,145
June,SAN MATEO,502
June,SANTA BARBARA,220
June,SANTA CLARA,954
June,SANTA CRUZ,114
June,SHASTA,354
June,SISKIYOU,45
June,SMALL COUNTY,246
June,SOLANO,663
June,SONOMA,960
June,STANISLAUS,927
June,SUTTER,161
June,TEHAMA,66
June,TULARE,337
June,TUOLUMNE,63
June,VENTURA,608
June,YOLO,219
June,YUBA,152
July,ALAMEDA,3497
July,AMADOR,56
July,BUTTE,299
July,CALAVERAS,56
July,COLUSA,46
July,CONTRA COSTA,2574
July,DEL NORTE,57
July,EL DORADO,367
July,FRESNO,1218
July,GLENN,13
July,HUMBOLDT,240
July,IMPERIAL,263
July,KERN,1100
July,KINGS,265
July,LAKE,312
July,LASSEN,31
July,LOS ANGELES,23397
July,MADERA,212
July,MARIN,321
July,MENDOCINO,156
July,MERCED,323
July,MONTEREY,353
July,NAPA,211
July,NEVADA,217
July,ORANGE,4232
July,PLACER,847
July,RIVERSIDE,4065
July,SACRAMENTO,3667
July,SAN BENITO,73
July,SAN BERNARDINO,3658
July,SAN DIEGO,6137
July,SAN FRANCISCO,1751
July,SAN JOAQUIN,1494
July,SAN LUIS OBISPO,304
July,SAN MATEO,1066
July,SANTA BARBARA,513
July,SANTA CLARA,2007
July,SANTA CRUZ,167
July,SHASTA,224
July,SISKIYOU,92
July,SMALL COUNTY,269
July,SOLANO,1033
July,SONOMA,841
July,STANISLAUS,974
July,SUTTER,226
July,TEHAMA,61
July,TULARE,443
July,TUOLUMNE,85
July,VENTURA,1202
July,YOLO,410
July,YUBA,198
