month,res_county,cases
April,ALAMEDA,2853
April,AMADOR,59
April,BUTTE,574
April,CALAVERAS,87
April,COLUSA,54
April,CONTRA COSTA,2367
April,DEL NORTE,127
April,EL DORADO,618
April,FRESNO,1991
April,GLENN,48
April,HUMBOLDT,420
April,IMPERIAL,710
April,KERN,1355
April,KINGS,260
April,LAKE,92
April,LASSEN,29
April,LOS ANGELES,12301
April,MADERA,354
April,MARIN,291
April,MENDOCINO,91
April,MERCED,811
April,MONTEREY,434
April,NAPA,326
April,NEVADA,327
April,ORANGE,3127
April,PLACER,1206
April,RIVERSIDE,3024
April,SACRAMENTO,4574
April,SAN BENITO,157
April,SAN BERNARDINO,2662
April,SAN DIEGO,6273
April,SAN FRANCISCO,967
April,SAN JOAQUIN,2384
April,SAN LUIS OBISPO,675
April,SAN MATEO,1068
April,SANTA BARBARA,787
April,SANTA CLARA,3232
April,SANTA CRUZ,262
April,SHASTA,670
April,SISKIYOU,236
April,SMALL COUNTY,314
April,SOLANO,1310
April,SONOMA,567
April,STANISLAUS,2165
April,SUTTER,203
April,TEHAMA,205
April,TULARE,722
April,TUOLUMNE,84
April,VENTURA,945
April,YOLO,470
April,YUBA,169
December,ALAMEDA,24207
December,AMADOR,1851
December,BUTTE,4524
December,CALAVERAS,664
December,COLUSA,614
December,CONTRA COSTA,17808
December,DEL NORTE,364
December,EL DORADO,3835
December,FRESNO,31568
December,GLENN,835
December,HUMBOLDT,885
December,IMPERIAL,8187
December,KERN,30366
December,KINGS,5309
December,LAKE,941
December,LASSEN,2184
December,LOS ANGELES,425472
December,MADERA,4880
December,MARIN,2261
December,MENDOCINO,945
December,MERCED,7679
December,MONTEREY,13750
December,NAPA,2743
December,NEVADA,1300
December,ORANGE,92848
December,PLACER,7591
December,RIVERSIDE,107325
December,SACRAMENTO,28695
December,SAN BENITO,1932
December,SAN BERNARDINO,112352
December,SAN DIEGO,86170
December,SAN FRANCISCO,8480
December,SAN JOAQUIN,21686
December,SAN LUIS OBISPO,5628
December,SAN MATEO,11713
December,SANTA BARBARA,7470
December,SANTA CLARA,36804
December,SANTA CRUZ,5370
December,SHASTA,3185
December,SISKIYOU,385
December,SMALL COUNTY,1721
December,SOLANO,9649
December,SONOMA,7220
December,STANISLAUS,15114
December,SUTTER,2831
December,TEHAMA,1628
December,TULARE,15632
December,TUOLUMNE,1814
December,VENTURA,24166
December,YOLO,3755
December,YUBA,1806
February,ALAMEDA,5759
February,AMADOR,195
February,BUTTE,725
February,CALAVERAS,131
February,COLUSA,152
February,CONTRA COSTA,4627
February,DEL NORTE,118
February,EL DORADO,561
February,FRESNO,5664
February,GLENN,170
February,HUMBOLDT,333
February,IMPERIAL,714
February,KERN,6161
February,KINGS,1143
February,LAKE,293
February,LASSEN,176
February,LOS ANGELES,48461
February,MADERA,892
February,MARIN,779
February,MENDOCINO,314
February,MERCED,2217
February,MONTEREY,2349
February,NAPA,514
February,NEVADA,359
February,ORANGE,11454
February,PLACER,1277
February,RIVERSIDE,11568
February,SACRAMENTO,6561
February,SAN BENITO,295
February,SAN BERNARDINO,9434
February,SAN DIEGO,15307
February,SAN FRANCISCO,2408
February,SAN JOAQUIN,4227
February,SAN LUIS OBISPO,1527
February,SAN MATEO,2445
February,SANTA BARBARA,2750
February,SANTA CLARA,7254
February,SANTA CRUZ,979
February,SHASTA,702
February,SISKIYOU,191
February,SMALL COUNTY,580
February,SOLANO,1654
February,SONOMA,2000
February,STANISLAUS,4001
February,SUTTER,474
February,TEHAMA,280
February,TULARE,3653
February,TUOLUMNE,351
February,VENTURA,5952
February,YOLO,810
February,YUBA,347
January,ALAMEDA,19694
January,AMADOR,577
January,BUTTE,2991
January,CALAVERAS,545
January,COLUSA,505
January,CONTRA COSTA,15389
January,DEL NORTE,97
January,EL DORADO,2118
January,FRESNO,20531
January,GLENN,594
January,HUMBOLDT,934
January,IMPERIAL,3703
January,KERN,21370
January,KINGS,4419
January,LAKE,849
January,LASSEN,408
January,LOS ANGELES,298104
January,MADERA,3533
January,MARIN,2290
January,MENDOCINO,782
January,MERCED,6671
January,MONTEREY,10428
January,NAPA,2205
January,NEVADA,818
January,ORANGE,62619
January,PLACER,4343
January,RIVERSIDE,74915
January,SACRAMENTO,19045
January,SAN BENITO,1516
January,SAN BERNARDINO,62843
January,SAN DIEGO,72404
January,SAN FRANCISCO,7732
January,SAN JOAQUIN,14568
January,SAN LUIS OBISPO,6079
January,SAN MATEO,9991
January,SANTA BARBARA,10576
January,SANTA CLARA,26928
January,SANTA CRUZ,4559
January,SHASTA,2139
January,SISKIYOU,354
January,SMALL COUNTY,1085
January,SOLANO,7457
January,SONOMA,5708
January,STANISLAUS,11776
January,SUTTER,1634
January,TEHAMA,1223
January,TULARE,12383
January,TUOLUMNE,562
January,VENTURA,27384
January,YOLO,3100
January,YUBA,1108
July,ALAMEDA,3497
July,AMADOR,56
July,BUTTE,299
July,CALAVERAS,56
July,COLUSA,46
July,CONTRA COSTA,2574
July,DEL NORTE,57
July,EL DORADO,367
July,FRESNO,1218
July,GLENN,13
July,HUMBOLDT,240
July,IMPERIAL,263
July,KERN,1100
July,KINGS,265
July,LAKE,312
July,LASSEN,31
July,LOS ANGELES,23397
July,MADERA,212
July,MARIN,321
July,MENDOCINO,156
July,MERCED,323
July,MONTEREY,353
July,NAPA,211
July,NEVADA,217
July,ORANGE,4232
July,PLACER,847
July,RIVERSIDE,4065
July,SACRAMENTO,3667
July,SAN BENITO,73
July,SAN BERNARDINO,3658
July,SAN DIEGO,6137
July,SAN FRANCISCO,1751
July,SAN JOAQUIN,1494
July,SAN LUIS OBISPO,304
July,SAN MATEO,1066
July,SANTA BARBARA,513
July,SANTA CLARA,2007
July,SANTA CRUZ,167
July,SHASTA,224
July,SISKIYOU,92
July,SMALL COUNTY,269
July,SOLANO,1033
July,SONOMA,841
July,STANISLAUS,974
July,SUTTER,226
July,TEHAMA,61
July,TULARE,443
July,TUOLUMNE,85
July,VENTURA,1202
July,YOLO,410
July,YUBA,198
June,ALAMEDA,1615
June,AMADOR,71
June,BUTTE,284
June,CALAVERAS,37
June,COLUSA,13
June,CONTRA COSTA,1585
June,DEL NORTE,48
June,EL DORADO,242
June,FRESNO,784
June,GLENN,27
June,HUMBOLDT,275
June,IMPERIAL,181
June,KERN,826
June,KINGS,148
June,LAKE,111
June,LASSEN,78
June,LOS ANGELES,8025
June,MADERA,186
June,MARIN,141
June,MENDOCINO,163
June,MERCED,229
June,MONTEREY,167
June,NAPA,144
June,NEVADA,151
June,ORANGE,1678
June,PLACER,661
June,RIVERSIDE,1876
June,SACRAMENTO,2467
June,SAN BENITO,65
June,SAN BERNARDINO,1773
June,SAN DIEGO,2536
June,SAN FRANCISCO,509
June,SAN JOAQUIN,1067
June,SAN LUIS OBISPO,145
June,SAN MATEO,502
June,SANTA BARBARA,220
June,SANTA CLARA,954
June,SANTA CRUZ,114
June,SHASTA,354
June,SISKIYOU,45
June,SMALL COUNTY,246
June,SOLANO,663
June,SONOMA,960
June,STANISLAUS,927
June,SUTTER,161
June,TEHAMA,66
June,TULARE,337
June,TUOLUMNE,63
June,VENTURA,608
June,YOLO,219
June,YUBA,152
March,ALAMEDA,2983
March,AMADOR,105
March,BUTTE,395
March,CALAVERAS,92
March,COLUSA,21
March,CONTRA COSTA,2635
March,DEL NORTE,190
March,EL DORADO,356
March,FRESNO,3872
March,GLENN,129
March,HUMBOLDT,280
March,IMPERIAL,542
March,KERN,2340
March,KINGS,565
March,LAKE,164
March,LASSEN,27
March,LOS ANGELES,16837
March,MADERA,544
March,MARIN,473
March,MENDOCINO,112
March,MERCED,1398
March,MONTEREY,675
March,NAPA,380
March,NEVADA,351
March,ORANGE,4537
March,PLACER,1167
March,RIVERSIDE,3891
March,SACRAMENTO,4676
March,SAN BENITO,135
March,SAN BERNARDINO,3329
March,SAN DIEGO,6917
March,SAN FRANCISCO,1218
March,SAN JOAQUIN,3357
March,SAN LUIS OBISPO,877
March,SAN MATEO,1272
March,SANTA BARBARA,1087
March,SANTA CLARA,3704
March,SANTA CRUZ,433
March,SHASTA,518
March,SISKIYOU,93
March,SMALL COUNTY,359
March,SOLANO,1086
March,SONOMA,1054
March,STANISLAUS,2700
March,SUTTER,276
March,TEHAMA,222
March,TULARE,1491
March,TUOLUMNE,112
March,VENTURA,1965
March,YOLO,467
March,YUBA,251
May,ALAMEDA,1630
May,AMADOR,41
May,BUTTE,454
May,CALAVERAS,76
May,COLUSA,47
May,CONTRA COSTA,1628
May,DEL NORTE,89
May,EL DORADO,314
May,FRESNO,1259
May,GLENN,68
May,HUMBOLDT,482
May,IMPERIAL,400
May,KERN,1139
May,KINGS,174
May,LAKE,70
May,LASSEN,58
May,LOS ANGELES,6177
May,MADERA,151
May,MARIN,163
May,MENDOCINO,184
May,MERCED,418
May,MONTEREY,260
May,NAPA,110
May,NEVADA,144
May,ORANGE,1450
May,PLACER,703
May,RIVERSIDE,1803
May,SACRAMENTO,2989
May,SAN BENITO,46
May,SAN BERNARDINO,1644
May,SAN DIEGO,3251
May,SAN FRANCISCO,512
May,SAN JOAQUIN,1356
May,SAN LUIS OBISPO,292
May,SAN MATEO,486
May,SANTA BARBARA,267
May,SANTA CLARA,1134
May,SANTA CRUZ,127
May,SHASTA,634
May,SISKIYOU,223
May,SMALL COUNTY,269
May,SOLANO,805
May,SONOMA,555
May,STANISLAUS,1415
May,SUTTER,165
May,TEHAMA,146
May,TULARE,674
May,TUOLUMNE,71
May,VENTURA,640
May,YOLO,280
May,YUBA,188
